Participant ID,External ID,data_type
E5009,ESM5MEDN,metagenomics
E5013,ESM5MEB9_P,metagenomics
H4001,HSM5FZBQ_P,metagenomics
H4004,HSM5MD4U_P,metagenomics
H4006,HSM5MD4B_P,metagenomics
H4007,HSM5MD7Z_P,metagenomics
H4014,HSM5MD3L_P,metagenomics
H4015,HSM5MD5X_P,metagenomics
H4017,HSM6XRQB_P,metagenomics
H4020,HSM6XRR3,metagenomics
H4028,HSM67VID,metagenomics
H4030,HSM7CYWS_P,metagenomics
H4031,HSM7CZ2V_P,metagenomics
H4032,HSM7J4Q1,metagenomics
H4038,HSM7J4J7,metagenomics
H4039,HSM7J4LP,metagenomics
H4043,HSMA33IE,metagenomics
M2008,MSM5LLDI,metagenomics
M2014,MSM5FZ9X_P,metagenomics
M2021,MSM5LLHR_P,metagenomics
M2025,MSM5LLIC_P,metagenomics
M2027,MSM5LLIS_P,metagenomics
M2028,MSM5LLFG_P,metagenomics
M2034,MSM5LLF2_P,metagenomics
M2068,MSM79HBX_P,metagenomics
P6005,PSM6XBQM_P,metagenomics
P6009,PSM6XBRK_P,metagenomics
P6010,PSM6XBRM_P,metagenomics
P6016,PSM6XBVY_P,metagenomics
P6024,PSM7J1BJ,metagenomics
P6028,PSM7J1B3_P,metagenomics
P6033,PSM7J13I,metagenomics
H4008,HSM5MD8A_P,metagenomics
H4009,HSM5MD82_P,metagenomics
H4013,HSM5MD8H_P,metagenomics
H4016,HSM5MD5Z_P,metagenomics
H4018,HSM6XRQC_P,metagenomics
H4022,HSM67VDX_P,metagenomics
H4023,HSM67VDR_P,metagenomics
H4024,HSM67VDT_P,metagenomics
H4045,HSMA33NY,metagenomics
M2039,CSM6J2H9_P,metagenomics
M2041,MSM6J2JF_P,metagenomics
M2042,MSM6J2JH_P,metagenomics
M2047,MSM6J2PO,metagenomics
M2060,MSM79H52_P,metagenomics
M2061,MSM79H5E,metagenomics
M2072,MSM79HCG,metagenomics
M2075,MSM79H8D,metagenomics
M2084,MSM9VZMM,metagenomics
P6014,PSM6XBTR,metagenomics
P6017,PSM6XBW1_P,metagenomics
P6018,PSM6XBW3,metagenomics
E5004,ESM5MEEJ_P,metagenomics
H4010,HSM5MD87_P,metagenomics
H4019,HSM6XRQE_P,metagenomics
H4027,HSM7CZ1T_P,metagenomics
H4035,HSM7CZ2X_P,metagenomics
H4040,HSM7J4JT_P,metagenomics
H4042,HSM7J4JV_P,metagenomics
H4044,HSMA33NW,metagenomics
M2026,MSM5LLIQ_P,metagenomics
M2064,MSM79HF1_P,metagenomics
M2069,MSM79HBZ,metagenomics
P6012,PSM6XBSE_P,metagenomics
P6013,PSM6XBSG_P,metagenomics
P6025,PSM7J1BV,metagenomics
